"","best","under","over"
"1",1,0,NA
"2",0.439280256410256,0.193329230769231,0.367390512820513
"3",0.570946837606838,0.429053162393162,NA
"4",0.22404,0.77596,NA
"5",0.735394517704518,0.226298705738706,0.0383067765567766
"6",0.426020824175824,0.526687893772894,0.0472912820512821
"7",0.283139025974026,0.654281452991453,0.062579521034521
"8",0.317069352314352,0.587468910533911,0.0954617371517371
"9",0.386977232212232,0.415076806526807,0.197945961260961
"10",0.403844592074592,0.377333349428349,0.218822058497058
"11",0.389342656232656,0.354726883116883,0.255930460650461
"12",0.385499463869464,0.346776287601288,0.267724248529249
